,name,wm_ID,rating,num_of_rating,price,brand,connection,type,battery,microphone,noise,water,weight,driver,impedance,frequency response,sensitivity,UPC,model number,manufacturerID,RecommendedUse,HeadphoneStyle,Wireless,CompatibleDevices,HeadphoneType,WirelessTechnology
14,Skullcandy Cassette Wireless BT On-Ear Headphone with Mic in Black,Walmart #  575963796,4.3,132 ratings,$29.88 ,,wireless,on ear,,mic,0,0,,,,,,,,,Portableelectronics,On-Ear,Y,,WirelessHeadphones,Bluetooth
15,Mini Wireless Earbuds Bluetooth 5.0 Earpiece Headphone - Noise Cancelling Sweatproof Headset with Microphone Built-in Mic and Portable Charging Case for iPhone Samsung Smartphones,,4.0,473 ratings,$25.99 ,,wireless,,,mic,0,0,lightweight,,,,,,,,,,Y,Universal;AppleiPhone8,In-EarHeadphones,8+
16,"onn. On-Ear Headphones, Black",Walmart #  578486279,4.2,173 ratings,$9.88 ,,0,on ear,,0,0,0,lightweight,,,,,,,,,On-Ear,,Tabletcomputers,On-Ear&Over-Ear,Desktopcomputer
17,"Google Pixel Buds, Clearly White",Walmart #  581323336,3.9,61 ratings,$179.00 ,,0,,,mic,0,0,,,,,,,,,Portableelectronics,Wireless,Y,<ul><li>Smartphone</li><li>MediaPlayer</li><li>Tablets</li><li>Laptops</li></ul>,Earbuds,Bluetooth
18,Bose SoundSport Free True Wireless Earbuds - Black,Walmart #  565712930,4.4,396 ratings,$199.00 ,,wireless,in ear,,mic,0,water resist,lightweight,,,,,,,,Portableelectronics,Sport,Y,BluetoothEnabledDevice,In-EarHeadphones,Bluetooth
19,Sony WH-CH510 Wireless On-Ear Headphones with Mic- Black,Walmart #  575975730,3.8,78 ratings,$49.88 ,,wireless,,,mic,0,0,,,,,,,,,Portableelectronics,,Y,1,WirelessHeadphones,Bluetooth
20,Skull Candy Jib Bluetooth Black,Walmart #  558246137,3.3,203 ratings,$9.99 ,,wireless,in ear,,mic,0,0,,,,,,,,,1,,Y,Multiplatform,In-EarHeadphones,Bluetooth
21,Skullcandy Jib Plus Bluetooth Wireless In Ear Earbuds in Black,Walmart #  575711966,3.5,99 ratings,$15.99 ,,0,,,0,0,0,,,,,,,,,1,In-Ear,Y,PortableElectronics,In-EarHeadphones,Bluetooth
22,Wireless Bluetooth 5.0 Earbuds IPX7 Waterproof Headphones Noise Canceling Earphones Wireless in-Ear Earpiece 35H Playtime HiFi 3D Stereo Sound Headset Built-in Mic & Charging Case for Work Sports,,4.1,83 ratings,$21.99 ,,wireless,in ear,,mic,noise cancellation,waterproof,lightweight,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
23,Refurbished Apple AirPods Generation 2 with Charging Case MV7N2AM/A,Walmart #  577621596,3.6,123 ratings,$99.00 ,,wireless,,,mic,0,0,,,,,,,,,,,Y,AirPods,In-EarHeadphones,Bluetooth
24,Bluetooth 5.0 Wireless Stereo Earbuds Headphones Noise Cancelling with Built-in Mic and Charging Case Hands-free Calling Sweatproof In-Ear Headset Earphone Earpiece for iPhone/Android Smart Phones,,3.9,480 ratings,$24.99 ,,wireless,on ear,,mic,noise canceling,waterproof,lightweight,,,,,,,,,,Y,Universal;AppleiPhoneXRXSMAXX8,In-EarHeadphones,8+
25,"Wireless Bluetooth Earbuds, TWS+ Bluetooth 5.0 Sport Earbuds, Professional Wireless Sport Earphones 25 hours Playing Time, Waterproof In-Ear One-button Control Earpiece for Gym Running Workout, Q5845",,4.4,119 ratings,$29.89 ,,wireless,in ear,,mic,noise isolation,waterproof,,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
26,Bluetooth Rechargeable Over Ear Headset Foldable Wireless Wired Headphones with Memory Card Slot Built-In FM Tuner Microphone Audio Cable for Phone TV Computer MP3 Player,,3.8,323 ratings,$17.95 ,,wireless,on ear,,mic,0,0,lightweight,,,,,,,,,,Y,,WirelessHeadphones,Bluetooth
27,"Contixo Kid Safe 85dB On Ear Foldable Wireless Bluetooth Headphone w/ Volume Limiter, Built-in Micro Phone, Micro SD card Music Player, FM Stereo Radio, Audio Input & Output (Blue + Yellow)",Walmart #  565634987,3.9,139 ratings,$24.99 ,,wireless,on ear,,mic,sound isolation,0,lightweight,,,,,,,,Portableelectronics,,Wired/Wireless,,On-Ear&Over-Ear,Bluetooth
28,"Koss 192980 Ur20 Full-size, Over-the-ear Headphones",Walmart #  551388050,4.4,552 ratings,$16.78 ,,0,,,mic,noise isolation,0,,,,,,,,,HomeAudio,,N,,On-Ear&Over-Ear,None
29,Beats Solo3 Wireless On-Ear Headphones - Beats Club Collection - Club Navy,,4.1,10 ratings,$159.00 ,,wireless,on ear,,mic,0,0,,,,,,,,,Portableelectronics,,Y,,WirelessHeadphones,Bluetooth
30,Skull Candy Jib Bluetooth Black,Walmart #  558246137,3.3,203 ratings,$9.99 ,,wireless,in ear,,mic,0,0,,,,,,,,,1,,Y,Multiplatform,In-EarHeadphones,Bluetooth
31,Skullcandy Jib Plus Bluetooth Wireless In Ear Earbuds in Black,Walmart #  575711966,3.5,99 ratings,$15.99 ,,0,,,0,0,0,,,,,,,,,1,In-Ear,Y,PortableElectronics,In-EarHeadphones,Bluetooth
32,KOSS 191867 UR10 Headphones,Walmart #  551922032,4.3,186 ratings,$10.76 ,,0,,,0,0,0,lightweight,,,,,,,,HomeAudio,,Wired,,On-Ear&Over-Ear,None
33,"onn. Wireless Sport Earphone, Black",Walmart #  578486281,4.0,112 ratings,$19.88 ,,wireless,,,mic,0,water resist,,,,,,,,,,In-Ear,Y,Android/iOS,Earbuds,Bluetooth
34,"Kids Headphones, Vogek 2 in 1 Cat / Rabbit Wired On-Ear Headphones Headsets with 85dB Volume Limited, Children Headphones for Kids-Pink",,4.3,42 ratings,$17.95 ,,0,on ear,,0,0,0,lightweight,,,,,,,,,,N,,On-Ear&Over-Ear,None
35,Skullcandy S2DUYK-630 JIB In-Ear Earbuds With Microphone (Pink),Walmart #  564871460,4.2,381 ratings,$5.99 ,,0,in ear,,mic,noise isolating,0,,,,,,,,,,,N,,In-EarHeadphones,None
36,3.5mm Headphones In Ear EarBuds Universal Stereo Headset Earphone for Cell Phone IPhone 6 6S 5S SE 5 Samsung Galaxy A10e A20 A50 J3 J5 S10 S10e S9 S8 LG Stylo 4 By Insten,,4.1,43 ratings,$5.99 ,,0,in ear,,0,0,0,,,,,,,,,,In-EarHeadphones,N,CellPhones,In-EarHeadphones,None
37,L21 Bluetooth 5.0 Headset TWS Wireless Earphones Stereo Mini Earbuds Headphones with Charging Box,,4.8,17 ratings,$11.99 ,,wireless,in ear,,mic,noise reduction,0,,,,,,,,,,In-Ear,,SmartPhones,WirelessEarbuds,Bluetooth
38,Soundcore Life U2 Wireless Headphones,Walmart #  578593784,4.4,38 ratings,$39.88 ,,wireless,,,mic,noise reduction,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
39,"Bluetooth Wireless Earbuds, Update Bluetooth 5.0 Wireless Headphones with Built-in Mic and Charging Case, Hands-free Calling Sweatproof In-Ear Headset Earphone Earpiece for iPhone/Android Smart Phones",,4.0,176 ratings,$24.99 ,,wireless,in ear,,mic,noise cancellation,waterproof,,,,,,,,,,In-Ear,Y,,In-EarHeadphones,Bluetooth
40,"Bose Sport Earbuds – True Wireless Bluetooth Audio Earbuds, Black",Walmart #  585374521,5.0,1 ratings,$179.00 ,,wireless,,,mic,0,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,SportsHeadphones|Earbuds|WirelessHeadphones|In-earHaeadphones,Bluetooth
41,"Black Friday Clearance!!!Wireless Earbuds, Upgraded Noise Cancelling Bluetooth Earbuds with 3D Stereo Sound Mini In-Ear Sports Earphones Car Headset with Mic(Black)",,4.0,2 ratings,$19.58 ,,wireless,in ear,,mic,0,0,lightweight,,,,,,,,,,,,,
42,"AirPods Magnetic Ear Strap, GMYLE Anti-Lost Silicone Cord Outdoor Sports Aid String Rope Cable Wirelss Earbuds Accessories Compatible for AirPods 1 / AirPods 2 / AirPods Pro (Navy Blue)",,5.0,2 ratings,$5.98 ,,0,,,0,0,0,lightweight,,,,,,,,,,,,,
43,"Turtle Beach Recon 70 Gaming Headset for Xbox One and Xbox Series X, PS4, PC, Mobile (White)",Walmart #  573928403,4.2,364 ratings,$39.95 ,,0,over ear,,mic,noise isolation,0,lightweight,,,,,,,,Portableelectronics,Over-Ear,N,XboxOne:PlayStation4:NintendoSwitch;WindowsPC;Mobile,On-Ear&Over-Ear,
44,"Turtle Beach Recon 70 Gaming Headset for Xbox One and Xbox Series X, PS4, PC, Mobile (Black)",Walmart #  573928404,4.2,364 ratings,$39.95 ,,0,on ear,,mic,0,0,,,,,,,,,1,Over-Ear,Wired,XboxOne,On-Ear&Over-Ear,
45,Refurbished Apple AirPods Generation 2 with Wireless Charging Case MRXJ2AM/A,Walmart #  577621598,4.4,35 ratings,$109.00 ,,wireless,,,0,0,0,,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
46,L.O.L. Surprise! Kid Safe Headphones,Walmart #  568137489,1.7,6 ratings,$15.87 ,,0,,,0,noise isolation,0,,,,,,,,,,,N,compatible_devices,On-Ear&Over-Ear,None
47,"Wireless Bluetooth 5.0 Earbuds, SEGMART True Wireless Earbuds with Stereo Hi-Fi Sound, Sweatproof In-Ear Headset Wireless Earphone with Charging Case for iPhone/Android, One-Step Pairing, I8450",,4.6,56 ratings,$29.99 ,,wireless,in ear,,mic,noise isolation,waterproof,,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
48,"Wireless Bluetooth 5.0 Earbuds with Microphone, Wireless Sweatproof Sports Headphones Earphone with HD Stereo, In-Ear One-button Control Earpiece for Gym Running Workout",,4.9,20 ratings,$38.99 ,,wireless,in ear,,mic,noise cancelling,waterproof,,,,,,,,,,,,,,
49,"Bluetooth Headset, LUXMO Wireless Bluetooth 5.0 Earpice for Cellphone, In ear Bluetooth Earphone Hands Free Earbuds With Noise Cancelling Mic for iPhone Android All Smart Cell Phone",,4.4,9 ratings,$17.99 ,,wireless,,,mic,noise reduction,0,lightweight,,,,,,,,,,,TabletComputers,In-EarHeadphones,Bluetooth
50,"3.5mm Headphones, In-Ear EarBuds for Apple iPhone 6 6S 5S 5 SE 4S 4 3Gs iPod Touch 6th 5th 4th 3rd Generation iPad Laptop PC MP3 MP4 In Ear White Headphone Headset EarbudS EAR BUDS",,3.6,11 ratings,$9.49 ,,0,in ear,,mic,0,water resist,,,,,,,,,,In-Ear;On-Ear,,iPad;TabletComputers;CDPlayers;GPS;DesktopComputers;Blu-rayplayers;DVDPlayers,In-EarHeadphones,None
51,"Bluetooth Headphones Over Ear, LUXMO Wireless Noise Cancelling Headphones Foldable Stereo Headset with Mic, Rechargeable Headphones Handsfree Headphones for PC, Laptops and Smartphones",,3.4,5 ratings,$20.99 ,,wireless,over ear,,mic,0,0,,,,,,,,,,FashionBluetoothHeadphonesOverEar,Y,SmartPhones,On-Ear&Over-Ear,Bluetooth
52,"Anker Soundcore Life Q10 Wireless Bluetooth Headphones, Over Ear and Foldable, Hi-Res Certified Sound, 60-Hour Playtime and Fast USB-C Charging, Deep Bass, Aux Input",,5.0,1 ratings,$39.99 ,,wireless,over ear,,mic,noise cancellation,0,,,,,,,,,,Over-Ear,,Universal,,Bluetooth
53,LG TONE PRO HBS-780 Bluetooth Stereo Headset - Matte Blue,,2.9,236 ratings,$59.99 ,,wireless,,,mic,0,0,lightweight,,,,,,,,Portableelectronics,,Y,,Earbuds,Bluetooth
54,"Apple Ear-Pods In-Ear Earbuds with Remote, Mic and Lightning Connector Earbud Headphones, White (New Open Box)",,4.4,8 ratings,$15.55 ,,0,in ear,,mic,0,0,,,,,,,,,,,N,,In-EarHeadphones,None
55,2-PACK Afflux Universal Bluetooth 4.0 Wireless Stereo Headset Sports Earphones In-Ear Earbuds Magnet Attraction Headphones with Mic for Cellphone Tablet iPhone 7 8 X XS Samsung Galaxy S8 S9 Note 8 9,,2.9,51 ratings,$9.99 ,,wireless,,,mic,0,0,lightweight,,,,,,,,,In-Ear,Y,CellPhone;Tablets;Universal,In-EarHeadphones,Bluetooth
56,3.5mm Pro LED Light Gaming Headset Surround Stereo Headband Headphone USB with Mic,,3.0,2 ratings,$18.78 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,None
57,Sony MDRE9LP/BLU Earbud Headphones,,3.5,83 ratings,$6.00 ,,0,,,0,0,0,,,,,,,,,Portableelectronics,,N,PortableElectronics,In-EarHeadphones,None
58,WS-858 Wireless Handheld Microphone USB KTV Player Bluetooth Record Music Suitable for iOS Android iPad,,1.0,1 ratings,$14.99 ,,wireless,,,mic,noise reduction,0,,,,,,,,,,,,,,
59,Wireless Cat Ear Headphones Bluetooth Headset LED Lights Earphone for Kids Adults,,5.0,3 ratings,$25.98 ,,wireless,,,0,0,0,lightweight,,,,,,,,,Over-Ear,,,,Bluetooth
60,"Gaming Headset Headphones for PS4, PC, Xbox One Controller Laptop Mac, Wired Stereo Noise Cancelling Headphones with Mic, Bass Surround, Soft Memory Earmuffs",,5.0,1 ratings,$10.38 ,,0,in ear,,mic,noise cancelling,0,,,,,,,,,,,,,On-Ear&Over-Ear,None
61,"EEEKit Bone Conduction Headphones with Bluetooth 5.0, Open-Ear Wireless Headset Lightweight Sports Earphones with Mic, Waterproof IPX5, for Running, Cycling, Jogging, Black",,2.0,3 ratings,$15.97 ,,wireless,,,mic,noise reduction,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
62,Type C To 3.5mm Earphone Adapter for Xiaomi Audio Cable Headphone Charging Cable USB-C Converter,,1.6,16 ratings,$6.99 ,,0,,,mic,0,0,,,,,,,,,,,,SmartPhones,wired_headphones,802.11n
63,"2020 Newest Version Bluetooth Earbuds In-Ear Wireless Headset 4.1, One Step Pairing iPhone Android All Smart Phones, Ergonomic Stereo Earplug Earbuds w/Mic for Cell Phones/Tablet/PC, T9, Purple, S9489",,2.7,24 ratings,$19.99 ,,wireless,in ear,,mic,noise cancellation,0,lightweight,,,,,,,,,,,,,
64,"Ryan's World Bluetooth Kids Headphones with Microphone, Volume Limiting",,4.4,5 ratings,$29.99 ,,wireless,over ear,,mic,0,0,,,,,,,,,,,Y,,On-Ear&Over-Ear,Bluetooth
65,Jvc® Jvc® Gumy® Plus Earbuds With Remote & Microphone (black),Walmart #  551233536,4.0,85 ratings,$13.16 ,,0,,,mic,sound isolation,0,,,,,,,,,Portableelectronics,,N,1,In-EarHeadphones,None
66,CableVantage New 5 in 1 Hi-Fi Wireless Headset Headphone Earphone for TV DVD MP3 PC Black,,2.8,18 ratings,$13.99 ,,wireless,,,0,0,0,,,,,,,,,,,Y,TVs,WirelessHeadphones,Bluetooth
67,Jabra Elite 65t True Wireless Earbuds,,3.8,29 ratings,$79.98 ,,wireless,,,mic,noise reduction,0,,,,,,,,,Portableelectronics,,Y,,In-EarHeadphones,Bluetooth
68,"Audio-Technica ATH M50x Professional Monitor Headphones, Available in Multiple Colors",Walmart #  554873498,4.8,177 ratings,$149.00 ,,0,,,0,sound isolating,0,,,,,,,,,DJ,DJ,N,,On-Ear&Over-Ear,None
69,"Sony MDR-RF912RK Over-Ear Wireless Radio Frequency Stereo TV Headphone System with 40mm Drivers, Noise Reduction and Long Wireless Range, Black (New Open Box)",,3.3,12 ratings,$34.95 ,,wireless,over ear,,mic,noise reduction,0,,,,,,,,,,Over-Ear,Y,TVs,WirelessHeadphones,rf
70,"Stereo Gaming Headset for PS4, Xbox One, PC, Noise Cancelling Over Ear Headphones with Mic, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo Switch Games Phone",,3.2,202 ratings,$12.98 ,,0,,,mic,noise cancelling,0,,,,,,,,,,,,,,
71,Klipsch T5 True Wireless - True wireless earphones with mic - in-ear - Bluetooth - noise isolating - black,,3.4,9 ratings,$59.99 ,,wireless,in ear,,mic,noise isolation,water resist,,,,,,,,,Portableelectronics,,Y,,In-EarHeadphones,Bluetooth
72,Apple EarPods with Remote and Mic MD827LLA OEM Genuine Brand New,,2.5,13 ratings,$13.00 ,,0,,,mic,noise cancellation,0,,,,,,,,,,Earbuds,N,AllmodelsofiPod,In-EarHeadphones,iPhone
73,Great Gift Idea! Total Wireless Universal Bluetooth EarBuds w/ Charging Case - Stereo Sync - Secure Fit - Sweatproof -,,2.9,128 ratings,$14.88 ,,wireless,,,0,0,0,lightweight,,,,,,,,,,Y,iPhone&AndroidDevices,In-EarHeadphones,Bluetooth
74,"Avantree Long Cord Headphones for TV PC, 12ft / 3.5mm Extension Cable Earbuds Earphones, 3.5mm Audio Output, Metal Stereo In-ear Wired Bass Headset with Spring Coil Wire - HF027",,3.8,17 ratings,$17.99 ,,0,,,0,noise isolating,0,lightweight,,,,,,,,,,N,,In-EarHeadphones,None
75,Sony MDR-ZX110NC Noise-Canceling Stereo Headphones,Walmart #  554212419,3.9,262 ratings,$38.00 ,,0,,,0,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear,N,,On-Ear&Over-Ear,None
76,"iClever Kids Headphones - Wired Headphones for Kids, Adjustable Headband, Stereo Sound, Foldable",,3.0,2 ratings,$16.99 ,,0,,,0,0,0,,,,,,,,,,,,,On-Ear&Over-Ear,None
77,"Bluetooth 4.2 Bass，Mini True Wireless Headphones, Sports Wireless nvisible In-ea Earbuds Earphones, Built-in Microphone for iPhone, Samsung, Android Phone",,2.3,19 ratings,$15.69 ,,wireless,,,mic,0,0,,,,,,,,,,,,SmartPhones,In-EarHeadphones,Bluetooth
78,Panasonic® Hv096 Earbuds,Walmart #  552094172,4.2,31 ratings,$7.42 ,,0,,,0,0,0,,,,,,,,,Portableelectronics,,N,Multiplatform,In-EarHeadphones,None
79,eKids JoJo Siwa - Headphones - full size - wired - 3.5 mm jack,,3.5,4 ratings,$19.97 ,,0,,,mic,0,0,,,,,,,,,,,N,,On-Ear&Over-Ear,None
80,"Noise Cancelling Bluetooth Headphones V5.0 Wireless Wired Over Ear Headphones Stereo Folding Adjustable Headsets Rechargeable with Microphone, Black/Black & Red",,3.4,5 ratings,$15.97 ,,wireless,over ear,,mic,noise reduction,waterproof,,,,,,,,,,Over-Ear,,,Over-EarHeadphones,Bluetooth
81,Maxell 190319 Over Ear Headphones,,3.5,18 ratings,$5.94 ,,0,,,0,0,0,lightweight,,,,,,,,1,,Wired,allportablestereos,On-Ear&Over-Ear,boomboxes
82,Meidong E7B Active Noise Cancelling Headphones Bluetooth Wireless Headphones with Microphone Over Ear 30H Playtime Deep Bass Hi-Fi Stereo Headset (Newer Model),,4.5,82 ratings,$48.99 ,,wireless,in ear,,mic,noise cancelling,0,lightweight,,,,,,,,,,,,WirelessHeadphones,Bluetooth
83,"Wireless Earbuds,Bluetooth 5.0 True Bluetooth Ear Buds Earphone with Charging Case, Hands-free Calling Sweatproof In-Ear Headset Earpiece Headphone for iPhone/Android Smart Phones",,4.2,13 ratings,$25.99 ,,wireless,in ear,,mic,0,0,lightweight,,,,,,,,,In-Ear,Y,,In-EarHeadphones,Bluetooth
84,Wireless Earbuds Headset Bluetooth 5.0 Headphones IPX5 Waterproof in-Ear Sport Earphones with Mic for Running Gym Workout Black,Walmart #  582938171,4.3,38 ratings,$29.99 ,,wireless,in ear,,mic,0,water resist,lightweight,,,,,,,,,,,,,
85,"INSMA Mini Wireless Earbuds, TWS bluebooth 5.0 Headphones Bass Twins Stereo In-Ear Earphone Built-in Mic for iPhone & for Samsung Android Smart Phones",,3.8,66 ratings,$24.98 ,,wireless,in ear,,mic,noise reduction,waterproof,,,,,,,,,,In-Ear,,Universal,In-EarHeadphones,Bluetooth
86,Jojo Siwa Fashion Headphones,Walmart #  564030163,3.0,17 ratings,$25.99 ,,0,,,mic,0,0,,,,,,,,,,,N,,On-Ear&Over-Ear,None
87,JBL LIVE 300TWS - True wireless earphones with mic - in-ear - Bluetooth - white gloss,,4.5,78 ratings,$99.95 ,,wireless,,,mic,0,water resist,,,,,,,,,Portableelectronics,,Y,,Earbuds,Bluetooth
88,"Bluetooth Headphones Over Ear, EEEKit Wireless Foldable Earphones Noise Cancelling Stereo Headphones with Flashing LED Lights Adjustable Sport Headsets for Men Women Kids",,4.1,9 ratings,$19.97 ,,wireless,,,0,0,0,lightweight,,,,,,,,,,,Computers,Over-EarHeadphones,Bluetooth
89,THIS ITEM IS OWNED BY DMG ELECTRONICS INDIGI ARE HACKERS DONT BUY FROM THEM!,,3.3,12 ratings,$27.98 ,,wireless,,,0,0,0,,,,,,,,,,In-Ear,Y,SmartPhones,WirelessEarbuds,Bluetooth
90,"Upgraded Bluetooth Headphones Over Ear, SEGMART Upgraded Hi-Fi Stereo Wireless Headset, Foldable Wired/Wireless/TV Bluetooth 3.0 Wireless Earphones for Travel/Work/Cellphone, S6042",,5.0,2 ratings,$20.99 ,,wireless,in ear,,mic,0,0,,,,,,,,,,Over-Ear,,,On-Ear&Over-Ear,Bluetooth
91,V8 Business Bluetooth Headset V4.1 Handsfree with Microphone Car High-end Ultra Long Standby Wireless Earphone,,3.7,3 ratings,$9.45 ,,wireless,in ear,,mic,noise cancelling,0,,,,,,,,,,,,,,
92,Bluetooth Earbuds 5.0 Wireless Earphones TWS Stereo Sports Headphones Waterproof IPX7 Headset with Charging Case Black,,3.1,69 ratings,$15.33 ,,wireless,,,mic,noise reduction,waterproof,lightweight,,,,,,,,,,Y,SmartPhones,In-EarHeadphones,Bluetooth
93,IFROGZ EarPollution Plugz with Mic - Silver,Walmart #  556563742,3.8,56 ratings,$10.99 ,,0,,,mic,0,0,,,,,,,,,Portableelectronics,,N,,In-EarHeadphones,None
94,Mpow Wireless Bluetooth 4.1 Headset Headphones with Clear Voice Capture Technology for iPhone Samsung Galaxy and Other Cellphones (Black),,4.1,113 ratings,$24.99 ,,wireless,,,0,0,0,lightweight,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
95,Wireless Bluetooth Music Warm Beanie Hat Wireless Smart Cap Headset Headphone Speaker Mic,,1.0,1 ratings,$10.95 ,,wireless,,,0,0,0,,,,,,,,,,,,,,
96,Beats Studio - Headphones with mic - full size - Bluetooth - wireless - active noise canceling - matte black,,2.3,3 ratings,$139.00 ,,0,,,mic,noise canceling,0,,,,,,,,,,,Y,,WirelessHeadphones,Bluetooth
97,Wired Earphones for Samsung Galaxy A71/A50/A20/A10e/A01/A11/A21 - Hands-free Headphones Headset w Mic Earbuds Earpieces OEM J4Z,,3.7,9 ratings,$13.42 ,,0,,,mic,noise isolating,0,,,,,,,,,,,,SamsungGalaxyA50,In-EarHeadphones,SamsungGalaxyA10e
98,"LilGadgets Connect+ PRO Premium Children's Wired Headphones with SharePort - Assorted Colors (Kids, Toddlers, Boys, Girls)",,4.9,27 ratings,$26.95 ,,0,,,mic,0,0,,,,,,,,,,,,,,
99,"Wireless Earbuds, EEEKit TWS V5.0 Wireless True Bluetooth Earbuds Mini Portable Sweat-Proof Sports Twins Earphones Stereo Bass Headset with Charging Case, Black",,3.6,145 ratings,$18.42 ,,wireless,on ear,,mic,noise cancellation,0,,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
100,JVC HARX500 - White/Gray Full-Size Headphones,Walmart #  563194816,4.4,163 ratings,$25.27 ,,0,,,0,0,0,,,,,,,,,1,,N,1,On-Ear&Over-Ear,None
101,Boltune True Wireless earbuds Bluetooth V5.0 Headphones 40 Hours play time SB25,,5.0,6 ratings,$36.95 ,,wireless,in ear,,mic,0,waterproof,,,,,,,,,,In-Ear,,SmartPhones,WirelessEarbuds,Bluetooth
102,TWS 5D 5.0 Earbuds Earphones True Wireless Headphones In-Ear Mini Twins Stereo Headsets Sport Headphones,,5.0,2 ratings,$13.38 ,,wireless,,,0,0,0,,,,,,,,,,,Y,5953eb744fff3d798d6224ce,In-EarHeadphones,Bluetooth
103,Wireless Gaming Headset Headphones With Microphone For PC/Phone For PUBG,,5.0,1 ratings,$26.99 ,,wireless,,,mic,0,0,,,,,,,,,,,,,WirelessHeadphones,Bluetooth
