,name,wm_ID,rating,num_of_rating,price,feat_labels,feat_values,about_text,about_details,about_text_clean,feat_labels_clean,feat_values_clean,brand,connection,type,battery,microphone,noise,water,weight,driver,impedance,frequency response,sensitivity,UPC,model number,manufacturerID,RecommendedUse,HeadphoneStyle,Wireless,CompatibleDevices,HeadphoneType,WirelessTechnology
29,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
30,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
31,Skullcandy Jib Plus Bluetooth Wireless In Ear Earbuds in Black,Walmart #  575711966,3.5,99,15.99,"['Headphone Type', 'Headphone Style', 'Wireless', 'Recommended Use', 'Compatible Devices', 'Wireless Technology']","['In-Ear Headphones', 'In-Ear', 'Y', '1', 'Portable Electronics', 'Bluetooth']","EARBUD,JIB+ WRLS,BLK,BT","['Value for money', 'Ease of use']",earbud jib  wrls blk bt,"HeadphoneType,HeadphoneStyle,Wireless,RecommendedUse,CompatibleDevices,WirelessTechnology","In-EarHeadphones,In-Ear,Y,1,PortableElectronics,Bluetooth",,0,,,0,0,0,,,,,,,,,1,In-Ear,Y,PortableElectronics,In-EarHeadphones,Bluetooth
32,KOSS 191867 UR10 Headphones,Walmart #  551922032,4.3,186,10.76,"['Headphone Type', 'Wireless', 'Recommended Use', 'Wireless Technology']","['On-Ear & Over-Ear', 'Wired', 'Home Audio', 'None']","The KOSS Stratus Stereophone is a portable model that offers maximum sound quality and comfort in a lightweight, portable design. Today?s music lovers depend on lightweight, portable stereophones to reproduce their favorite recording on the go. The Stratus combines the very best in sound performance without sacrificing comfort and portability. It delivers deep bass and has a frequency response of 60 Hz through 20,000 Hz. It features an adjustable headband that provides a secure fit for active music listening. The closed, leatherette ear cushions provides maximum isolation and comfort. The Stratus offers the listener great value at an opening price point.Offers Maximum Sound Quality & Comfort In A Lightweight, Portable Design  Closed Leatherette Earpads Provide Maximum Isolation & Comfort  Features Adjustable Headband That Provides A Secure Fit For Active Music Listening  Freq Resp: 60Hz?20Khz  Imp: 32?  Sensitivity: 94Db/Mw  4Ft Straight, Single-Entry Cord  Limited Lifetime Warranty","['1', '2', '3', '4', '5', '6', '', '8']",the koss stratus stereophone is a portable model that offers maximum sound quality and comfort in a lightweight  portable design. today s music lovers depend on lightweight  portable stereophones to reproduce their favorite recording on the go. the stratus combines the very best in sound performance without sacrificing comfort and portability. it delivers deep bass and has a frequency response of    hz through        hz. it features an adjustable headband that provides a secure fit for active music listening. the closed  leatherette ear cushions provides maximum isolation and comfort. the stratus offers the listener great value at an opening price point.offers maximum sound quality   comfort in a lightweight  portable design  closed leatherette earpads provide maximum isolation   comfort  features adjustable headband that provides a secure fit for active music listening  freq resp    hz   khz  imp       sensitivity    db mw   ft straight  single entry cord  limited lifetime warranty,"HeadphoneType,Wireless,RecommendedUse,WirelessTechnology","On-Ear&Over-Ear,Wired,HomeAudio,None",,0,,,0,0,0,lightweight,,,,,,,,HomeAudio,,Y,,On-Ear&Over-Ear,None
33,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
34,"Kids Headphones, Vogek 2 in 1 Cat / Rabbit Wired On-Ear Headphones Headsets with 85dB Volume Limited, Children Headphones for Kids-Pink",,4.3,42,17.95,"['Headphone Type', 'Wireless', 'Wireless Technology']","['On-Ear & Over-Ear', 'N', 'None']","Kids Headphones, Vogek 2 in 1 Cat / Rabbit Wired On-Ear Headphones Headsets with 85dB Volume Limited, Children Headphones for kids, girls, boys, children, toddlers, elementary school student.  Ultra-lightweight design for kids age 3 and up. Kids headphones can be fold flat for compact storage.  Volume control technology ensures the sound is within recommended safe levels 85db for young children. Kids headphones made with tangle-free cords, twistable, bendable, stretchable headband ensure a long lifespan. The durable, 1.2 m cable resists snags and tangles. On-ear headphones with adjustable headband, swivel ear cups and cushioned & pressure-relieving ear pads ensure a perfect fit. Ideal gift with adorable cat / rabbit ear for kids, girls, boys, children, toddlers, elementary school student. Specification:Frequency Response: 20-20KHzCord Length: 1.2MImpedance: 32Ohm ±15%Sensitivity: 90dB/mWPlug: 3.5mm Silver Plated","['Ultra-lightweight design for kids age 3 and up. Kids headphones can be fold flat for compact storage. ', 'Volume control technology ensures the sound is within recommended safe levels 85db for young children.', 'Kids headphones made with tangle-free cords, twistable, bendable, stretchable headband ensure a long lifespan. The durable, 1.2 m cable resists snags and tangles.', 'On-ear headphones with adjustable headband, swivel ear cups and cushioned & pressure-relieving ear pads ensure a perfect fit.', 'Ideal gift with adorable cat / rabbit ear for kids, girls, boys, children, toddlers, elementary school student.', 'Specification:Frequency Response: 20-20KHzCord Length: 1.2MImpedance: 32Ohm ±15%Sensitivity: 90dB/mWPlug: 3.5mm Silver Plated']",kids headphones  vogek   in   cat   rabbit wired on ear headphones headsets with   db volume limited  children headphones for kids  girls  boys  children  toddlers  elementary school student.  ultra lightweight design for kids age   and up. kids headphones can be fold flat for compact storage.  volume control technology ensures the sound is within recommended safe levels   db for young children. kids headphones made with tangle free cords  twistable  bendable  stretchable headband ensure a long lifespan. the durable   .  m cable resists snags and tangles. on ear headphones with adjustable headband  swivel ear cups and cushioned   pressure relieving ear pads ensure a perfect fit. ideal gift with adorable cat   rabbit ear for kids  girls  boys  children  toddlers  elementary school student. specification frequency response       khzcord length   . mimpedance    ohm     sensitivity    db mwplug   . mm silver plated,"HeadphoneType,Wireless,WirelessTechnology","On-Ear&Over-Ear,N,None",,0,on ear,,0,0,0,lightweight,,,,,,,,,,Y,,On-Ear&Over-Ear,None
35,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
36,3.5mm Headphones In Ear EarBuds Universal Stereo Headset Earphone for Cell Phone IPhone 6 6S 5S SE 5 Samsung Galaxy A10e A20 A50 J3 J5 S10 S10e S9 S8 LG Stylo 4 By Insten,,4.1,43,5.99,"['Headphone Type', 'Headphone Style', 'Wireless', 'Compatible Devices', 'Wireless Technology']","['In-Ear Headphones', 'In-Ear Headphones', 'N', 'Cell Phones', 'None']","Package Includes  Universal 3.5mm In-Ear Stereo Headset x 1   Item Description  Universal 3.5mm In-Ear Stereo Headset Listen to your favorite music on the MP3 player with these high quality stereo earphones Compact size, convenient for you to carry it in your pocket, purse or backpack Excellent sound quality in all ranges 3.5mm headset connector is compatible with all devices with 3.5mm headset port Color: Black / Silver Cord Length: 42 inches Style: In-Ear Stereo Includes an extra pair of ear bud Accessory ONLY, Device / MP3 player not included Note: Apple Lightning to 3.5mm headphone jack adapter is needed to compatible with iPhone 7 /7 Plus   Product names are trademark of listed manufacturer or other owners, and are not trademarks of eForCity Corp. The manufacturer does not necessarily endorse use of these products.  3.5mm In-Ear Stereo Headset Listen to your favorite music tracks on your playback device Works great with devices like your phone, tablet, MP3 player and much more Compact size makes it convenient to carry Excellent sound quality output Hear the wide range of the music in amazing definition Comfortable in ear design Includes extra pair of ear buds Simple yet stylish design",['Universal 3.5mm In-Ear Stereo Headset x 1'],package includes  universal  . mm in ear stereo headset x     item description  universal  . mm in ear stereo headset listen to your favorite music on the mp  player with these high quality stereo earphones compact size  convenient for you to carry it in your pocket  purse or backpack excellent sound quality in all ranges  . mm headset connector is compatible with all devices with  . mm headset port color  black   silver cord length     inches style  in ear stereo includes an extra pair of ear bud accessory only  device   mp  player not included note  apple lightning to  . mm headphone jack adapter is needed to compatible with iphone      plus   product names are trademark of listed manufacturer or other owners  and are not trademarks of eforcity corp. the manufacturer does not necessarily endorse use of these products.   . mm in ear stereo headset listen to your favorite music tracks on your playback device works great with devices like your phone  tablet  mp  player and much more compact size makes it convenient to carry excellent sound quality output hear the wide range of the music in amazing definition comfortable in ear design includes extra pair of ear buds simple yet stylish design,"HeadphoneType,HeadphoneStyle,Wireless,CompatibleDevices,WirelessTechnology","In-EarHeadphones,In-EarHeadphones,N,CellPhones,None",,0,in ear,,0,0,0,,,,,,,,,,In-EarHeadphones,Y,CellPhones,In-EarHeadphones,None
37,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
38,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
39,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
40,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
41,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
42,"AirPods Magnetic Ear Strap, GMYLE Anti-Lost Silicone Cord Outdoor Sports Aid String Rope Cable Wirelss Earbuds Accessories Compatible for AirPods 1 / AirPods 2 / AirPods Pro (Navy Blue)",,5.0,2,5.98,,,"Are you constantly scared of losing your AirPods? GMYLE Magnetic Ear Strap set offers you the best experience to keep your AirPods safe and sound. 【ANTI-LOST】: Built-in strong magnet pieces offer strong magnetism for connection and attachment, lock and hold your earbuds around your neck securely. Never worry to lose your from now on. 【GREAT FOR SPORTS】: GMYLE neckband string adsorbs shocks and stays around the neck during vigorous exercises like running, fitness, bicycling, dancing, yoga and more. It holds the earbuds firmly against sliding down when you do not use it. 【LIGHTWEIGHT】: The premium silicone material enhances the stability of during movement and even sports. Ultra-lightweight makes itself burdenless. Comfortable all the time when using it. 【100% SATISFACTION GUARANTEE】: We promise to bring the best quality strap to our customers. If you are not satisfied with our products, you can get returns and money back within 24 months. 【PACKAGE】: GMYLE Magnetic Silicone Strap 1 PCS.","['【ANTI-LOST】: Built-in strong magnet pieces offer strong magnetism for connection and attachment, lock and hold your earbuds around your neck securely. Never worry to lose your from now on.', '【GREAT FOR SPORTS】: GMYLE neckband string adsorbs shocks and stays around the neck during vigorous exercises like running, fitness, bicycling, dancing, yoga and more. It holds the earbuds firmly against sliding down when you do not use it.', '【LIGHTWEIGHT】: The premium silicone material enhances the stability of during movement and even sports. Ultra-lightweight makes itself burdenless. Comfortable all the time when using it.', '【100% SATISFACTION GUARANTEE】: We promise to bring the best quality strap to our customers. If you are not satisfied with our products, you can get returns and money back within 24 months.', '【PACKAGE】: GMYLE Magnetic Silicone Strap 1 PCS.']",are you constantly scared of losing your airpods  gmyle magnetic ear strap set offers you the best experience to keep your airpods safe and sound.  anti lost   built in strong magnet pieces offer strong magnetism for connection and attachment  lock and hold your earbuds around your neck securely. never worry to lose your from now on.  great for sports   gmyle neckband string adsorbs shocks and stays around the neck during vigorous exercises like running  fitness  bicycling  dancing  yoga and more. it holds the earbuds firmly against sliding down when you do not use it.  lightweight   the premium silicone material enhances the stability of during movement and even sports. ultra lightweight makes itself burdenless. comfortable all the time when using it.       satisfaction guarantee   we promise to bring the best quality strap to our customers. if you are not satisfied with our products  you can get returns and money back within    months.  package   gmyle magnetic silicone strap   pcs.,,,,0,,,0,0,0,lightweight,,,,,,,,,,N,,,
43,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
44,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
45,Refurbished Apple AirPods Generation 2 with Wireless Charging Case MRXJ2AM/A,Walmart #  577621598,4.4,35,109.0,"['Headphone Type', 'Wireless', 'Wireless Technology']","['In-Ear Headphones', 'Y', 'Bluetooth']","*This item is REFURBISHED. The new AirPods combine intelligent design with breakthrough technology and crystal clear sound. Powered by the new Apple H1 headphone chip, AirPods now feature hands-free access to Siri using just your voice. And up to 3 hours of talk time on a single charge.Apple Airpods Generation 2 With Wireless","['Portable Audio', 'Earbuds and In-ear Headphones', 'Refurbished Headphones', 'Apple', 'Electronics Tax Time', 'Headphones', 'Refurbished AirPods and EarPods', 'True Wireless Headphones']", this item is refurbished. the new airpods combine intelligent design with breakthrough technology and crystal clear sound. powered by the new apple h  headphone chip  airpods now feature hands free access to siri using just your voice. and up to   hours of talk time on a single charge.apple airpods generation   with wireless,"HeadphoneType,Wireless,WirelessTechnology","In-EarHeadphones,Y,Bluetooth",,0,,,0,0,0,,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
46,L.O.L. Surprise! Kid Safe Headphones,Walmart #  568137489,1.7,6,15.87,"['Headphone Type', 'Wireless', 'Compatible Devices', 'Wireless Technology']","['On-Ear & Over-Ear', 'N', 'compatible_devices', 'None']","Jam out with the L.O.L. Surprise! Kids Safe headphones. Connect it to your iPhone or MP3 player and you're all set for an immersive listening experience. Soft, cushioned ear pads rest gently over your ears, providing superior ambient noise isolation and comfort throughout your day. And the built-in volume limiter ensures your ears are protected from excess volume. Features adjustable headband.LOL Surprise Kid-Safe Headphones Volume-Limiting Tech Ages 3-9","['Quality', 'For music', 'Comfort']",jam out with the l.o.l. surprise  kids safe headphones. connect it to your iphone or mp  player and you re all set for an immersive listening experience. soft  cushioned ear pads rest gently over your ears  providing superior ambient noise isolation and comfort throughout your day. and the built in volume limiter ensures your ears are protected from excess volume. features adjustable headband.lol surprise kid safe headphones volume limiting tech ages    ,"HeadphoneType,Wireless,CompatibleDevices,WirelessTechnology","On-Ear&Over-Ear,N,compatible_devices,None",,0,,,0,isolate,0,,,,,,,,,,,Y,compatible_devices,On-Ear&Over-Ear,None
47,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
