,web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,model,sku,price,rating,rating_amount,key_specs,brand,general,audio,connectivity,features,design,power,warranty/dimension,other,about_text_clean,brand,connection,type,battery,microphone,noise,water,weight,impedance,frequency response,sensitivity,UPC,manufacturerID
140,1604777968-16258,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=7&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Soundcore - Life Note True Wireless In-Ear Headphones - Black,https://www.bestbuy.com/site/soundcore-life-note-true-wireless-in-ear-headphones-black/6413859.p?skuId=6413859,Soundcore - Life Note True Wireless In-Ear Headphones - Black,A3908Z11,6413859,49,4.4,103,Noise Cancelling (Active) No Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesWater ResistantInfoYes Built-In Microphone Yes Headphone Fit In-EarBattery LifeInfo5 hours,Soundcore,Product Name Life Note True Wireless In-Ear Headphones Brand Soundcore Additional Accessories Included Charging case Ear Cushions Yes Model Number A3908Z11 Color Black Color Category Black,Noise Cancelling (Active) No Sound Isolating No Sound Mode Stereo,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes,Water ResistantInfoYes Built-In Microphone Yes Maximum Talk Time 5 hours,Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo5 hours,Manufacturer's Warranty - Parts 18 months Manufacturer's Warranty - Labor 18 months,UPC 848061059373,product name life note true wireless in ear headphones brand soundcore additional accessories included charging case ear cushions yes model number a3908z11 color black color category black noise cancelling  active  no sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyeswater resistantinfoyes built in microphone yes headphone fit in earbattery lifeinfo5 hours noise cancelling  active  no sound isolating no sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes water resistantinfoyes built in microphone yes maximum talk time 5 hours headphone fit in ear rechargeable yesbattery lifeinfo5 hours,product,1,in,,1.0,cancel,resist,,,,,,a3908z11
141,1604772274-15897,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=22&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Power Acoustik - Wireless IR Headphones - Black,https://www.bestbuy.com/site/power-acoustik-wireless-ir-headphones-black/8929565.p?skuId=8929565,Power Acoustik - Wireless IR Headphones - Black,WLHP-200,8929565,22,3.0,10,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNoWater ResistantInfoNo Carrying Case No Built-In Microphone No Headphone Fit On-Ear Adjustable Headband Yes,Power Acoustik,Product Name Wireless IR Headphones Brand Power Acoustik Additional Accessories Included None Model Number WLHP-200 Color Black Color Category Black,Sound Isolating No,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo,"Water ResistantInfoNo Carrying Case No Built-In Microphone No Controls Mute, Volume Body Metrics Measured Not Applicable Bone Conducting Technology No",Headphone Fit On-Ear,Rechargeable No,Product HeightInfo2.88 inchesProduct WidthInfo6.63 inchesProduct DepthInfo7.38 inchesProduct WeightInfo0.35 pounds,Manufacturer's Warranty - Parts 1 year limited,product name wireless ir headphones brand power acoustik additional accessories included none model number wlhp 200 color black color category black connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfonowater resistantinfono carrying case no built in microphone no headphone fit on ear adjustable headband yes sound isolating no connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono water resistantinfono carrying case no built in microphone no controls mute  volume body metrics measured not applicable bone conducting technology no headphone fit on ear rechargeable no,product,1,on,,1.0,isolate,resist,,,,,,wlhp
142,1604771592-15854,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=24&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Audio-Technica - ATH-AP2000TI Wired Over-the-Ear Headphones - Black,https://www.bestbuy.com/site/audio-technica-ath-ap2000ti-wired-over-the-ear-headphones-black/6363305.p?skuId=6363305,Audio-Technica - ATH-AP2000TI Wired Over-the-Ear Headphones - Black,AUD ATHAP2000TI,6363305,1,,,Sound Mode Stereo Connection Type Wired Headphone Fit Over-the-Ear Adjustable Headband No,Audio-Technica,"Product Name ATH-AP2000TI Wired Over-the-Ear Headphones Brand Audio-Technica Additional Accessories Included Carrying case, 6.3 mm (1/4"") stereo adapter Model Number AUD ATHAP2000TI Color Black Color Category Black",Sound Isolating No Sound Mode Stereo Driver Size 53 millimeters,Connection Type Wired Connector Size 1/8 in. (3.5mm),Headphone Fit Over-the-Ear Adjustable Headband No Foldable Design Yes,Ear Cushion Material Leather,Manufacturer's Warranty - Parts 2 years Manufacturer's Warranty - Labor 2 years,UPC 4961310147471,,product name ath ap2000ti wired over the ear headphones brand audio technica additional accessories included carrying case  6.3 mm  1 4   stereo adapter model number aud athap2000ti color black color category black sound mode stereo connection type wired headphone fit over the ear adjustable headband no sound isolating no sound mode stereo driver size 53 millimeters connection type wired connector size 1 8 in.  3.5mm  headphone fit over the ear adjustable headband no foldable design yes ear cushion material leather manufacturer s warranty   parts 2 years manufacturer s warranty   labor 2 years,product,0,,,,isolate,,,,,,,aud
143,1604773026-15939,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=21&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Philips - SHB2515 True Wireless In-Ear Headphones - Black,https://www.bestbuy.com/site/philips-shb2515-true-wireless-in-ear-headphones-black/6422030.p?skuId=6422030,Philips - SHB2515 True Wireless In-Ear Headphones - Black,SHB2515BK/00,6422030,49,,,"Sound Mode Mono, Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes Built-In Microphone Yes Carrying Case Yes Microphone Features Fixed Headphone Fit In-EarBattery LifeInfo3 hoursBattery Charge TimeInfo1.5 hours Ear Tip Sizes Included Large, Medium, Small",Philips,"Product Name SHB2515 True Wireless In-Ear Headphones Brand Philips Additional Accessories Included Charging case, 3 sizes ear tips (S/M/L), Wingtip, microUSB cable Ear Cushions Yes Ear Tip Sizes Included Large, Medium, Small Model Number SHB2515BK/00 Color Black Color Category Black","Sound Isolating Yes Sound Mode Mono, Stereo Driver Size 6 millimeters",Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesBluetooth VersionInfo5.0,"Built-In Microphone Yes Carrying Case Yes Microphone Features Fixed Controls Call, Track selection Maximum Talk Time 3 hours",Headphone Fit In-Ear,"Rechargeable YesBattery LifeInfo3 hoursBattery Charge TimeInfo1.5 hours Charging Accessory Included Cable, Case Battery Life Provided by Charging Case 70 hoursOn/Off SwitchInfoAutomatic",Manufacturer's Warranty - Parts 1 Year Limited Warranty Manufacturer's Warranty - Labor 1 Year Limited Warranty,UPC 685417542680,product name shb2515 true wireless in ear headphones brand philips additional accessories included charging case  3 sizes ear tips  s m l   wingtip  microusb cable ear cushions yes ear tip sizes included large  medium  small model number shb2515bk 00 color black color category black sound mode mono  stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes built in microphone yes carrying case yes microphone features fixed headphone fit in earbattery lifeinfo3 hoursbattery charge timeinfo1.5 hours ear tip sizes included large  medium  small sound isolating yes sound mode mono  stereo driver size 6 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyesbluetooth versioninfo5.0 built in microphone yes carrying case yes microphone features fixed controls call  track selection maximum talk time 3 hours headphone fit in ear rechargeable yesbattery lifeinfo3 hoursbattery charge timeinfo1.5 hours charging accessory included cable  case battery life provided by charging case 70 hourson off switchinfoautomatic,product,0,in,70,1.0,isolate,,,,,,,shb2515bk
144,1604779034-16329,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=2&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Skullcandy - Jib True Wireless In-Ear Headphones - True Black - Black,https://www.bestbuy.com/site/skullcandy-jib-true-wireless-in-ear-headphones-true-black-black/6436856.p?skuId=6436856,Skullcandy - Jib True Wireless In-Ear Headphones - True Black - Black,S2JTW-N740,6436856,29,4.7,3,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes Headphone Fit In-Ear,Skullcandy,Product Name Jib True Wireless In-Ear Headphones - True Black Brand Skullcandy Model Number S2JTW-N740 Color Black Color Category Black,Sound Isolating Yes,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes,Headphone Fit In-Ear,Manufacturer's Warranty - Parts 2,UPC 810015589397,,,product name jib true wireless in ear headphones   true black brand skullcandy model number s2jtw n740 color black color category black connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes headphone fit in ear sound isolating yes connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes headphone fit in ear manufacturer s warranty   parts 2 upc 810015589397,product,0,in,,,isolate,,,,,,810015589397,s2jtw
145,1604770973-15815,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=26&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Bang & Olufsen - Beoplay H4 2nd Gen Headphones - Limestone,https://www.bestbuy.com/site/bang-olufsen-beoplay-h4-2nd-gen-headphones-limestone/6436207.p?skuId=6436207,Bang & Olufsen - Beoplay H4 2nd Gen Headphones - Limestone,54344BCW,6436207,299,,,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Built-In Microphone Yes Headphone Fit Over-the-EarBattery LifeInfo19 hoursBattery Charge TimeInfo2.5 hours,Bang & Olufsen,"Product Name Beoplay H4 2nd Gen Headphones Brand Bang & Olufsen Additional Accessories Included Quick start guide, Warranty, 1.25m audio cable with 3.5 mm jack, USB-C – USB-A cable Model Number 54344BCW Color Limestone Color Category Tan",Sound Isolating Yes,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo,Built-In Microphone Yes,Headphone Fit Over-the-Ear,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Built-In Microphone Yes Headphone Fit Over-the-EarBattery LifeInfo19 hoursBattery Charge TimeInfo2.5 hours,Ear Cushion Material Leather Headband Material Leather,Manufacturer's Warranty - Parts 2 years,product name beoplay h4 2nd gen headphones brand bang   olufsen additional accessories included quick start guide  warranty  1.25m audio cable with 3.5 mm jack  usb c   usb a cable model number 54344bcw color limestone color category tan connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono built in microphone yes headphone fit over the earbattery lifeinfo19 hoursbattery charge timeinfo2.5 hours sound isolating yes connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono built in microphone yes headphone fit over the ear connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono built in microphone yes headphone fit over the earbattery lifeinfo19 hoursbattery charge timeinfo2.5 hours,product,0,,19,1.0,isolate,,,,,,,54344bcw
146,1604770440-15782,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=27&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Denon - Earbud  Headphones - White,https://www.bestbuy.com/site/denon-earbud-headphones-white/8970312.p?skuId=8970312,Denon - Earbud  Headphones - White,AH-C351W,8970312,49,,,Connection Type Wired Headphone Fit In-Ear,Denon,Product Name Earbud  Headphones Brand Denon Model Number AH-C351W Color White Color Category White,Sound Isolating NoMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo21 kilohertzImpedanceInfo17 ohms,Connection Type Wired Connector Size 1/8 in. (3.5mm) Tangle-Resistant Cord Yes,Headphone Fit In-Ear,Product HeightInfo0.1 inches,Manufacturer's Warranty - Parts 1 year limited Manufacturer's Warranty - Labor 1 year limited,UPC 081757508063,,product name earbud  headphones brand denon model number ah c351w color white color category white connection type wired headphone fit in ear sound isolating nominimum frequency responseinfo20 hertzmaximum frequency responseinfo21 kilohertzimpedanceinfo17 ohms connection type wired connector size 1 8 in.  3.5mm  tangle resistant cord yes headphone fit in ear product heightinfo0.1 inches manufacturer s warranty   parts 1 year limited manufacturer s warranty   labor 1 year limited,product,0,in,,,isolate,,,7 ohms,20 hertz,,,ah
147,1604778885-16319,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=2&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,JBL - LIVE 300TWS True Wireless In-Ear Headphones - Black,https://www.bestbuy.com/site/jbl-live-300tws-true-wireless-in-ear-headphones-black/6408760.p?skuId=6408760,JBL - LIVE 300TWS True Wireless In-Ear Headphones - Black,JBLLIVE300TWSBLKAM,6408760,74,4.3,20,"Noise Cancelling (Active) No Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesWater ResistantInfoYes Built-In Microphone Yes Headphone Fit In-EarBattery LifeInfo6 hoursBattery Charge TimeInfo2 hoursWorks WithInfoGoogle Assistant, Amazon Alexa",JBL,"Product Name LIVE 300TWS True Wireless In-Ear Headphones Brand JBL Additional Accessories Included 3 pairs of ear tips (small, medium, large), charging case (450 mAh), USB-C charging cable, 4 pairs of ear wings (SS/S/M/L sizes) Ear Cushions Yes Model Number JBLLIVE300TWSBLKAM Color Black Color Category Black",Noise Cancelling (Active) No Sound Isolating NoMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo16 ohms Sensitivity 95 decibels adjusted Sound Mode Stereo Driver Size 5.8 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesBluetooth VersionInfoOther,Water ResistantInfoYes Built-In Microphone Yes Maximum Talk Time 6 hours,Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo6 hoursBattery Charge TimeInfo2 hoursBattery CapacityInfo60 milliampere hours Charging Accessory Included CableCharging Interface(s)InfoUSB,"Works WithInfoGoogle Assistant, Amazon Alexa",Product WeightInfo0.14 pounds,product name live 300tws true wireless in ear headphones brand jbl additional accessories included 3 pairs of ear tips  small  medium  large   charging case  450 mah   usb c charging cable  4 pairs of ear wings  ss s m l sizes  ear cushions yes model number jbllive300twsblkam color black color category black noise cancelling  active  no sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyeswater resistantinfoyes built in microphone yes headphone fit in earbattery lifeinfo6 hoursbattery charge timeinfo2 hoursworks withinfogoogle assistant  amazon alexa noise cancelling  active  no sound isolating nominimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo16 ohms sensitivity 95 decibels adjusted sound mode stereo driver size 5.8 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyesbluetooth versioninfoother water resistantinfoyes built in microphone yes maximum talk time 6 hours headphone fit in ear rechargeable yesbattery lifeinfo6 hoursbattery charge timeinfo2 hoursbattery capacityinfo60 milliampere hours charging accessory included cablecharging interface s infousb,product,1,in,6,1.0,cancel,resist,,6 ohms,20 hertz,95 decibels adjusted,,jbllive300twsblkam
148,1604777623-16232,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=8&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Beats by Dr. Dre - urBeats³ Earphones with Lightning Connector - Black,https://www.bestbuy.com/site/beats-by-dr-dre-urbeats-earphones-with-lightning-connector-black/6296108.p?skuId=6296108,Beats by Dr. Dre - urBeats³ Earphones with Lightning Connector - Black,MU992LL/A,6296108,59,4.4,451,"Sound Mode Stereo Connection Type Wired Built-In Microphone Yes Carrying Case No Headphone Fit In-Ear Ear Tip Sizes Included Extra small, Large, Medium, Small",Beats by Dr. Dre,"Product Name urBeats³ Earphones with Lightning Connector Brand Beats by Dr. Dre Additional Accessories Included Eartips with four size options Ear Cushions Yes Ear Tip Sizes Included Extra small, Large, Medium, Small Model Number MU992LL/A Color Black Color Category Black",Sound Isolating Yes Sound Mode Stereo,Connection Type Wired Connector Size Lightning,"Built-In Microphone Yes Carrying Case No Controls Call, Track selection, Volume",Headphone Fit In-Ear,Manufacturer's Warranty - Parts 1 Year Manufacturer's Warranty - Labor 1 Year,UPC 190198899859,,product name urbeats  earphones with lightning connector brand beats by dr. dre additional accessories included eartips with four size options ear cushions yes ear tip sizes included extra small  large  medium  small model number mu992ll a color black color category black sound mode stereo connection type wired built in microphone yes carrying case no headphone fit in ear ear tip sizes included extra small  large  medium  small sound isolating yes sound mode stereo connection type wired connector size lightning built in microphone yes carrying case no controls call  track selection  volume headphone fit in ear manufacturer s warranty   parts 1 year manufacturer s warranty   labor 1 year,product,0,in,,1.0,isolate,,,,,,,mu992ll
149,1604776691-16172,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=11&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Anker - Soundcore Liberty Air X True Wireless In-Ear Headphones - Black,https://www.bestbuy.com/site/anker-soundcore-liberty-air-x-true-wireless-in-ear-headphones-black/6378180.p?skuId=6378180,Anker - Soundcore Liberty Air X True Wireless In-Ear Headphones - Black,A3902Z13,6378180,79,3.9,136,Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes Built-In Microphone Yes Headphone Fit In-EarBattery LifeInfo7 hours,Anker,"Product Name Soundcore Liberty Air X True Wireless In-Ear Headphones Brand Anker Additional Accessories Included Charging case, 5 pairs of ear tips (XS, small, medium, large, XL) Ear Cushions Yes Model Number A3902Z13 Color Black Color Category Black",Sound Isolating Yes Sound Mode Stereo,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesBluetooth VersionInfoOther,"Built-In Microphone Yes Controls Call, Track selection Maximum Talk Time 7 hours",Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo7 hoursCharging Interface(s)InfoUSB,Manufacturer's Warranty - Parts 18 months Manufacturer's Warranty - Labor 18 months,UPC 848061061406,product name soundcore liberty air x true wireless in ear headphones brand anker additional accessories included charging case  5 pairs of ear tips  xs  small  medium  large  xl  ear cushions yes model number a3902z13 color black color category black sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes built in microphone yes headphone fit in earbattery lifeinfo7 hours sound isolating yes sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyesbluetooth versioninfoother built in microphone yes controls call  track selection maximum talk time 7 hours headphone fit in ear rechargeable yesbattery lifeinfo7 hourscharging interface s infousb,product,0,in,7,1.0,isolate,,,,,,,a3902z13
150,1604773007-15938,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=21&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,"BuddyPhones - Gaming Unit, Foldable with Boom Mic - PURPLE",https://www.bestbuy.com/site/buddyphones-gaming-unit-foldable-with-boom-mic-purple/6432414.p?skuId=6432414,"BuddyPhones - Gaming Unit, Foldable with Boom Mic - PURPLE",24779VRP,6432414,29,,,Connection Type Wired Headphone Fit On-Ear,BuddyPhones,"Product Name Gaming Unit, Foldable with Boom Mic Brand BuddyPhones Model Number 24779VRP Color PURPLE Color Category Purple",Sound Isolating No,Connection Type Wired Connector Size 1/8 in. (3.5mm),Headphone Fit On-Ear,Manufacturer's Warranty - Parts 1 YEAR,UPC 727542485132,,,product name gaming unit  foldable with boom mic brand buddyphones model number 24779vrp color purple color category purple connection type wired headphone fit on ear sound isolating no connection type wired connector size 1 8 in.  3.5mm  headphone fit on ear manufacturer s warranty   parts 1 year upc 727542485132,product,0,on,,1.0,isolate,,,,,,727542485132,24779vrp
151,1604779416-16357,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Sony - WH-1000XM4 Wireless Noise-Cancelling Over-the-Ear Headphones - Midnight Blue,https://www.bestbuy.com/site/sony-wh-1000xm4-wireless-noise-cancelling-over-the-ear-headphones-midnight-blue/6428314.p?skuId=6428314,Sony - WH-1000XM4 Wireless Noise-Cancelling Over-the-Ear Headphones - Midnight Blue,WH1000XM4/L,6428314,278,4.7,736,"Noise Cancelling (Active) Yes Connection Type WirelessWireless ConnectivityInfoBluetooth, NFCTrue WirelessInfoYesWater ResistantInfoNo Built-In Microphone Yes Carrying Case Yes Microphone Features Noise cancelling Headphone Fit Over-the-Ear Adjustable Headband YesBattery LifeInfo30 hoursWorks WithInfoAmazon Alexa, Google Assistant, SiriVoice Assistant Built-inInfoAmazon Alexa, Google Assistant",Sony,Product Name WH-1000XM4 Wireless Noise-Cancelling Over-the-Ear Headphones Brand Sony Model Number WH1000XM4/L Color Midnight Blue Color Category Blue,Noise Cancelling (Active) Yes Sound Isolating YesEnvironmental Noise ControlInfoYes Driver Size 40 millimeters,"Connection Type WirelessWireless ConnectivityInfoBluetooth, NFCTrue WirelessInfoYesBluetooth VersionInfo5.0","Water ResistantInfoNoWaterproofInfoNo Built-In Microphone Yes Carrying Case Yes Microphone Features Noise cancelling Controls Call, Track selection, Voice assistant, Volume Maximum Talk Time 30 hoursHigh Resolution AudioInfoYes",Headphone Fit Over-the-Ear,Rechargeable YesBattery LifeInfo30 hours Charging Accessory Included CableCharging Interface(s)InfoUSB Type C,"Works WithInfoAmazon Alexa, Google Assistant, SiriVoice Assistant Built-inInfoAmazon Alexa, Google Assistant",Product HeightInfo9.94 inches,product name wh 1000xm4 wireless noise cancelling over the ear headphones brand sony model number wh1000xm4 l color midnight blue color category blue noise cancelling  active  yes connection type wirelesswireless connectivityinfobluetooth  nfctrue wirelessinfoyeswater resistantinfono built in microphone yes carrying case yes microphone features noise cancelling headphone fit over the ear adjustable headband yesbattery lifeinfo30 hoursworks withinfoamazon alexa  google assistant  sirivoice assistant built ininfoamazon alexa  google assistant noise cancelling  active  yes sound isolating yesenvironmental noise controlinfoyes driver size 40 millimeters connection type wirelesswireless connectivityinfobluetooth  nfctrue wirelessinfoyesbluetooth versioninfo5.0 water resistantinfonowaterproofinfono built in microphone yes carrying case yes microphone features noise cancelling controls call  track selection  voice assistant  volume maximum talk time 30 hourshigh resolution audioinfoyes headphone fit over the ear rechargeable yesbattery lifeinfo30 hours charging accessory included cablecharging interface s infousb type c,product,1,,30,1.0,cancel,resist,,,,,,wh1000xm4
152,1604774478-16020,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=17&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,V-MODA - Faders Wired Earplugs - Rouge,https://www.bestbuy.com/site/v-moda-faders-wired-earplugs-rouge/2961136.p?skuId=2961136,V-MODA - Faders Wired Earplugs - Rouge,EA-VFD-ROUGE,2961136,19,4.2,10,Product Name Faders Wired Earplugs Brand V-MODA Model Number EA-VFD-ROUGE Color Rouge Color Category Red,V-MODA,Manufacturer's Warranty - Parts Not Available Manufacturer's Warranty - Labor Not Available,Product WidthInfo2 inchesProduct HeightInfo2.5 inchesProduct WeightInfo0.5 poundsProduct LengthInfo0.5 inches UPC 877653005382,,,,Product Name Faders Wired Earplugs Brand V-MODA Model Number EA-VFD-ROUGE Color Rouge Color Category Red,,,,,0,,,,,,,,,,,
153,1604775079-16060,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=15&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Boompods - Type C Digibuds Wired In-Ear Headphones - Black,https://www.bestbuy.com/site/boompods-type-c-digibuds-wired-in-ear-headphones-black/6432921.p?skuId=6432921,Boompods - Type C Digibuds Wired In-Ear Headphones - Black,54212BCW,6432921,29,,,"Connection Type Wired Headphone Fit Behind the neck, In-Ear",Boompods,Product Name Type C Digibuds Wired In-Ear Headphones Brand Boompods Model Number 54212BCW Color Black Color Category Black,Sound Isolating Yes,Connection Type Wired Connector Size USB Type C,"Headphone Fit Behind the neck, In-Ear",Manufacturer's Warranty - Parts 1,UPC 738516542126,,,product name type c digibuds wired in ear headphones brand boompods model number 54212bcw color black color category black connection type wired headphone fit behind the neck  in ear sound isolating yes connection type wired connector size usb type c headphone fit behind the neck  in ear manufacturer s warranty   parts 1 upc 738516542126,product,0,in,,,isolate,,,,,,738516542126,54212bcw
154,1604775408-16083,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=14&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Jabra - Elite 45e Wireless In-Ear Headphones - Black/Copper,https://www.bestbuy.com/site/jabra-elite-45e-wireless-in-ear-headphones-black-copper/6230052.p?skuId=6230052,Jabra - Elite 45e Wireless In-Ear Headphones - Black/Copper,100-98900001-02,6230052,99,3.8,398,"Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Built-In Microphone Yes Headphone Fit Behind the neck, In-EarBattery LifeInfo8 hoursBattery Charge TimeInfo2 hours",Jabra,"Product Name Elite 45e Wireless In-Ear Headphones Brand Jabra Additional Accessories Included 3 pairs of EarWings, 3 pairs of EarGels Ear Cushions Yes Model Number 100-98900001-02 Color Black/Copper Color Category Black",Sound Isolating NoMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo32 ohms Sensitivity 109 decibels adjusted Sound Mode Stereo Driver Size 12.4 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNoBluetooth VersionInfoOther,"Built-In Microphone Yes Controls Mute, Volume Maximum Talk Time 8 hours","Headphone Fit Behind the neck, In-Ear",Rechargeable YesBattery LifeInfo8 hoursBattery Charge TimeInfo2 hoursCharging Interface(s)InfoMicro USB,Product WeightInfo0.06 pounds,Manufacturer's Warranty - Parts 2 years,product name elite 45e wireless in ear headphones brand jabra additional accessories included 3 pairs of earwings  3 pairs of eargels ear cushions yes model number 100 98900001 02 color black copper color category black sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono built in microphone yes headphone fit behind the neck  in earbattery lifeinfo8 hoursbattery charge timeinfo2 hours sound isolating nominimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo32 ohms sensitivity 109 decibels adjusted sound mode stereo driver size 12.4 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfonobluetooth versioninfoother built in microphone yes controls mute  volume maximum talk time 8 hours headphone fit behind the neck  in ear rechargeable yesbattery lifeinfo8 hoursbattery charge timeinfo2 hourscharging interface s infomicro usb,product,0,in,8,1.0,isolate,,,2 ohms,20 hertz,109 decibels adjusted,,100
